city,state,zip
New York,NY,10001
Los Angeles,CA,90001
Chicago,IL,60601
Houston,TX,77001
Phoenix,AZ,85001
Philadelphia,PA,19101
San Antonio,TX,78201
San Diego,CA,92101
Dallas,TX,75201
San Jose,CA,95101
Austin,TX,78701
Jacksonville,FL,32201
Fort Worth,TX,76101
Columbus,OH,43201
Charlotte,NC,28201
Indianapolis,IN,46201
San Francisco,CA,94101
Seattle,WA,98101
Denver,CO,80201
Nashville,TN,37201
Oklahoma City,OK,73101
El Paso,TX,79901
Washington,DC,20001
Las Vegas,NV,89101
Louisville,KY,40201
Memphis,TN,38101
Portland,OR,97201
Baltimore,MD,21201
Milwaukee,WI,53201
Albuquerque,NM,87101
Tucson,AZ,85701
Fresno,CA,93701
Sacramento,CA,94203
Mesa,AZ,85201
Kansas City,MO,64101
Raleigh,NC,27601
Omaha,NE,68101
Minneapolis,MN,55401
Cleveland,OH,44101
Tulsa,OK,74101
Arlington,TX,76001
New Orleans,LA,70112
Wichita,KS,67201
Tampa,FL,33601
Aurora,CO,80010
Anaheim,CA,92801
Santa Ana,CA,92701
Corpus Christi,TX,78401
Riverside,CA,92501
St. Louis,MO,63101
